,0
0,0
1,2
2,0
3,1
4,0
5,0
6,1
7,1
8,4
9,0
10,1
11,1
12,2
13,0
14,0
15,0
16,3
17,2
18,1
19,1
20,1
21,0
22,0
23,0
24,0
25,0
26,4
27,1
28,1
29,0
30,0
31,0
32,1
33,2
34,2
35,0
36,0
37,0
38,0
39,1
40,0
41,1
42,1
43,2
44,2
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,1
56,0
57,0
58,0
59,1
60,3
61,1
62,6
63,2
64,0
65,0
66,0
67,0
68,1
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,1
78,3
79,0
80,0
81,0
82,0
83,1
84,1
85,2
86,1
87,1
88,1
89,0
90,0
91,1
92,0
93,0
94,0
95,1
96,0
97,1
98,2
99,1
100,0
101,0
102,5
103,1
104,0
105,0
106,5
107,0
108,0
109,0
110,0
111,0
112,0
113,2
114,1
115,0
116,0
117,0
118,1
119,1
120,1
121,0
122,1
123,0
124,0
125,0
126,0
127,1
128,0
129,0
130,0
131,2
132,1
133,3
134,2
135,1
136,0
137,0
138,0
139,0
140,0
141,1
142,2
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,1
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,3
161,3
162,2
163,0
164,3
165,3
166,2
167,1
168,1
169,0
170,0
171,0
172,2
173,1
174,0
175,1
176,4
177,0
178,2
179,1
180,2
181,0
182,1
183,1
184,0
185,0
186,4
187,6
188,3
189,5
190,1
191,0
192,0
193,2
194,1
195,0
196,0
197,0
198,0
199,1
200,0
201,0
202,2
203,1
204,1
205,0
206,1
207,1
208,2
209,1
210,1
211,1
212,1
213,1
214,1
215,0
216,0
217,0
218,1
219,1
220,1
221,0
222,0
223,0
224,1
225,0
226,3
227,7
228,4
229,5
230,4
231,0
232,0
233,0
234,0
235,1
236,0
237,0
238,1
239,1
240,2
241,0
242,0
243,1
244,0
245,2
246,3
247,1
248,3
249,0
250,0
251,1
252,4
253,2
254,0
255,0
256,0
257,0
258,0
259,0
260,1
261,1
262,2
263,2
264,0
265,0
266,0
267,0
268,3
269,1
270,1
271,2
272,4
273,1
274,0
275,0
276,0
277,0
278,1
279,1
280,1
281,0
282,0
283,2
284,2
285,2
286,2
287,2
288,1
289,2
290,3
291,1
292,1
293,2
294,1
295,0
296,0
297,3
298,4
299,1
300,0
301,1
302,2
303,0
304,1
305,0
306,0
307,1
308,0
309,0
310,0
311,1
312,1
313,0
314,1
315,3
316,3
317,3
318,4
319,0
320,0
321,0
322,5
323,1
324,0
325,1
326,0
327,0
328,1
329,3
330,0
331,1
332,0
333,1
334,2
335,1
336,0
337,2
338,2
339,0
340,0
341,1
342,0
343,0
344,2
345,3
346,2
347,3
348,0
349,0
350,0
351,0
352,0
353,2
354,1
355,0
356,0
357,0
358,0
359,0
360,1
361,1
362,0
363,0
364,0
365,1
366,0
367,0
368,0
369,0
370,1
371,0
372,0
373,0
374,4
375,3
376,0
377,1
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,1
392,0
393,0
394,0
395,0
396,1
397,1
398,1
399,2
400,0
401,2
402,0
403,3
404,3
405,4
406,2
407,1
408,0
409,0
410,0
411,3
412,2
413,4
414,0
415,2
416,1
417,1
418,0
419,0
420,0
421,0
422,1
423,0
424,0
425,1
426,1
427,3
428,3
429,1
430,4
431,1
432,1
433,2
434,0
435,0
436,0
437,0
438,0
439,2
440,0
441,0
442,1
443,0
444,1
445,0
446,1
447,0
448,1
449,0
450,0
451,0
452,1
453,3
454,0
455,0
456,0
457,0
458,1
459,0
460,1
461,3
462,1
463,1
464,0
465,2
466,1
467,0
468,0
469,1
470,0
471,0
472,0
473,3
474,0
475,1
476,1
477,0
478,1
479,2
480,0
481,0
482,0
483,0
484,0
485,0
486,5
487,2
488,1
489,0
490,2
491,0
492,1
493,2
494,0
495,0
496,0
497,0
498,0
499,3
500,1
501,0
502,2
503,2
504,3
505,4
506,4
507,2
508,3
509,1
510,1
511,0
512,1
513,0
514,0
515,2
516,0
517,1
518,0
519,1
520,2
521,0
522,0
523,0
524,1
525,0
526,0
527,1
528,0
529,0
530,1
531,1
532,0
533,5
534,6
535,2
536,4
537,5
538,2
539,3
540,2
541,1
542,0
543,0
544,2
545,0
546,2
547,1
548,1
549,0
550,0
551,0
552,0
553,0
554,2
555,0
556,3
557,2
558,1
559,0
560,0
561,0
562,0
563,9
564,3
565,0
566,1
567,0
568,2
569,1
570,0
571,1
572,3
573,2
574,1
575,1
576,1
577,1
578,0
579,2
580,0
581,1
582,0
583,1
584,0
585,0
586,0
587,0
588,0
589,2
590,1
591,0
592,0
593,2
594,0
595,3
596,4
597,4
598,7
599,1
600,2
601,4
602,0
603,1
604,0
605,2
606,0
607,4
608,0
609,0
610,0
611,1
612,1
613,1
614,1
615,1
616,2
617,0
618,1
619,0
620,0
621,0
622,0
623,4
624,1
625,0
626,0
627,1
628,5
629,1
630,1
631,2
632,0
633,0
634,1
635,0
636,0
637,0
638,0
639,1
640,2
641,1
642,1
643,0
644,1
645,0
646,0
647,0
648,0
649,0
650,0
651,0
652,2
653,3
654,1
655,1
656,0
657,0
658,1
659,0
660,1
661,2
662,1
663,1
664,0
665,0
666,0
667,0
668,1
669,0
670,2
671,4
672,1
673,0
674,1
675,1
676,2
677,0
678,2
679,2
680,5
681,3
682,0
683,0
684,0
685,2
686,4
687,1
688,1
689,0
690,1
691,0
692,0
693,0
694,0
695,0
696,0
697,0
698,0
699,1
700,1
701,0
702,2
703,2
704,0
705,0
706,2
707,0
708,7
709,4
710,1
711,0
712,0
713,0
714,3
715,0
716,0
717,0
718,0
719,1
720,0
721,0
722,2
723,1
724,5
725,0
726,1
727,0
728,1
729,1
730,1
731,0
732,2
733,0
734,0
735,2
736,1
737,2
738,0
739,1
740,0
741,0
742,0
743,0
744,0
745,2
746,2
747,2
748,1
749,0
750,0
751,0
752,2
753,0
754,2
755,1
756,2
757,2
758,1
759,1
760,3
761,1
762,1
763,0
764,1
765,1
766,3
767,3
768,1
769,1
770,1
771,0
772,3
773,0
774,2
775,1
776,0
777,0
778,0
779,0
780,1
781,2
782,0
783,0
784,0
785,1
786,3
787,5
788,0
789,3
790,2
791,0
792,0
793,0
794,0
795,2
796,3
797,3
798,0
799,0
800,0
801,2
802,0
803,1
804,0
805,2
806,1
807,1
808,0
809,0
810,1
811,0
812,1
813,1
814,0
815,0
816,0
817,0
818,0
819,0
820,1
821,4
822,1
823,3
824,2
825,3
826,3
827,0
828,0
829,2
830,1
831,0
832,0
833,3
834,0
835,0
836,0
837,2
838,1
839,3
840,0
841,0
842,0
843,0
844,0
845,0
846,1
847,2
848,0
849,0
850,0
851,2
852,0
853,0
854,0
855,0
856,0
857,0
858,3
859,1
860,0
861,2
862,0
863,2
864,0
865,1
866,0
867,0
868,0
869,0
870,0
871,1
872,0
873,0
874,0
875,0
876,0
877,0
878,2
879,0
880,2
881,0
882,0
883,0
884,1
885,1
886,1
887,0
888,3
889,2
890,0
891,1
892,1
893,2
894,0
895,1
896,0
897,2
898,2
899,0
900,0
901,0
902,1
903,0
904,0
905,0
906,0
907,0
908,0
909,0
910,0
911,0
912,1
913,0
914,0
915,1
916,2
917,0
918,1
919,3
920,0
921,0
922,0
923,0
924,0
925,0
926,2
927,1
928,0
929,0
930,0
931,1
932,0
933,0
934,0
935,0
936,0
937,1
938,0
939,0
940,0
941,1
942,0
943,0
944,0
945,1
946,1
947,0
948,0
949,0
950,0
951,0
952,1
953,0
954,0
955,1
956,1
957,0
958,0
959,0
960,0
961,2
962,4
963,3
964,0
965,1
966,0
967,0
968,0
969,0
970,0
971,0
972,2
973,3
974,0
975,0
976,0
977,1
978,1
979,2
980,1
981,2
982,0
983,0
984,0
985,1
986,0
987,1
988,4
989,4
990,1
991,1
992,2
993,0
994,0
995,2
996,2
997,2
998,0
999,0
1000,2
1001,2
1002,6
1003,2
1004,1
1005,1
1006,1
1007,0
1008,0
1009,0
1010,3
1011,4
1012,6
1013,1
1014,0
1015,0
1016,3
1017,4
1018,1
1019,0
1020,0
1021,0
1022,0
1023,3
1024,4
1025,1
1026,0
1027,1
1028,0
1029,0
1030,1
1031,3
1032,0
1033,0
1034,0
1035,3
1036,0
1037,1
1038,0
1039,0
1040,0
1041,0
1042,0
1043,0
1044,0
1045,0
1046,0
1047,0
1048,1
1049,0
1050,0
1051,1
1052,0
1053,0
1054,0
1055,0
1056,0
1057,0
1058,2
1059,3
1060,1
1061,1
1062,3
1063,0
1064,1
1065,1
1066,2
1067,1
1068,6
1069,2
1070,4
1071,4
1072,5
1073,1
1074,4
1075,2
1076,0
1077,1
1078,0
1079,0
1080,0
1081,1
1082,0
1083,0
1084,0
1085,0
1086,1
1087,0
1088,2
1089,1
1090,4
1091,1
1092,3
1093,2
1094,4
1095,2
1096,1
1097,6
1098,1
1099,2
1100,0
1101,0
1102,3
1103,1
1104,2
1105,0
1106,3
1107,2
1108,0
1109,0
1110,0
1111,2
1112,2
1113,2
1114,1
1115,0
1116,3
1117,0
1118,4
1119,0
1120,0
1121,0
1122,0
1123,0
1124,1
1125,1
1126,2
1127,7
1128,2
1129,0
1130,0
1131,0
1132,1
1133,0
1134,0
1135,0
1136,1
1137,2
1138,4
1139,6
1140,2
1141,3
1142,4
1143,0
1144,0
1145,0
1146,7
1147,3
1148,0
1149,0
1150,0
1151,0
1152,2
1153,0
1154,1
1155,6
1156,0
1157,0
1158,0
1159,1
1160,2
1161,0
1162,3
1163,1
1164,0
1165,1
1166,0
1167,0
1168,0
1169,0
1170,0
1171,1
1172,2
1173,2
1174,1
1175,0
1176,0
1177,2
1178,2
1179,1
1180,0
1181,2
1182,0
1183,0
1184,1
1185,1
1186,7
1187,2
1188,0
1189,0
1190,0
1191,0
1192,0
1193,2
1194,2
1195,5
1196,2
1197,2
1198,0
1199,2
1200,0
1201,0
1202,0
1203,0
1204,0
1205,1
1206,4
1207,1
1208,5
1209,0
1210,0
1211,1
1212,2
1213,3
1214,1
1215,0
1216,2
1217,0
1218,1
1219,2
1220,5
1221,2
1222,2
1223,1
1224,4
1225,2
1226,0
1227,0
1228,0
1229,2
1230,5
1231,1
1232,3
1233,0
1234,1
